pre_fre,pre_ori,ret_fre,ret_ori
0.7890625,0.703125,0.6875,0.7421875
0.875,0.697916666666667,0.854166666666667,0.71875
0.7734375,0.7109375,0.796875,0.796875
0.9609375,0.78125,0.890625,0.8984375
0.928571428571429,0.830357142857143,0.901785714285714,0.946428571428571
0.828125,0.625,0.859375,0.6328125
0.828125,0.7109375,0.765625,0.8046875
0.6953125,0.734375,0.6953125,0.8984375
0.9453125,0.828125,0.921875,0.8671875
0.96875,0.8671875,0.9765625,0.9921875
0.71875,0.6875,0.640625,0.8125
0.8828125,0.8359375,0.859375,0.9921875
0.9375,0.8046875,0.9765625,0.8515625
0.8984375,0.78125,0.9140625,0.71875
0.9296875,0.7734375,0.984375,0.9375
0.796875,0.734375,0.859375,0.6796875
0.9375,0.8125,0.9609375,0.9375
0.828125,0.8046875,0.8046875,0.8828125
0.953125,0.78125,0.9375,0.875
0.8125,0.5,0.71875,0.609375
0.5546875,0.7734375,0.4453125,0.8125
0.703125,0.78125,0.6875,0.78125
0.6640625,0.65625,0.59375,0.734375
0.8515625,0.7734375,0.8671875,0.921875
0.921875,0.6640625,0.8984375,0.71875
0.696428571428571,0.723214285714286,0.758928571428571,0.821428571428571
0.895833333333333,0.770833333333333,0.864583333333333,0.875
0.7265625,0.671875,0.75,0.7734375
0.8984375,0.8203125,0.875,0.7890625
0.7578125,0.6484375,0.609375,0.6328125
0.796875,0.7265625,0.5546875,0.7890625
0.875,0.703125,0.890625,0.765625
0.75,0.546875,0.7578125,0.5078125
