"suj","cue_type","feat_attend","max(percent)"
"sub001","pre","Frequency",0.7890625
"sub001","pre","Orientation",0.703125
"sub001","retro","Frequency",0.6875
"sub001","retro","Orientation",0.7421875
"sub003","pre","Frequency",0.875
"sub003","pre","Orientation",0.697916666666667
"sub003","retro","Frequency",0.854166666666667
"sub003","retro","Orientation",0.71875
"sub004","pre","Frequency",0.7734375
"sub004","pre","Orientation",0.7109375
"sub004","retro","Frequency",0.796875
"sub004","retro","Orientation",0.796875
"sub006","pre","Frequency",0.9609375
"sub006","pre","Orientation",0.78125
"sub006","retro","Frequency",0.890625
"sub006","retro","Orientation",0.8984375
"sub008","pre","Frequency",0.928571428571429
"sub008","pre","Orientation",0.830357142857143
"sub008","retro","Frequency",0.901785714285714
"sub008","retro","Orientation",0.946428571428571
"sub009","pre","Frequency",0.828125
"sub009","pre","Orientation",0.625
"sub009","retro","Frequency",0.859375
"sub009","retro","Orientation",0.6328125
"sub010","pre","Frequency",0.828125
"sub010","pre","Orientation",0.7109375
"sub010","retro","Frequency",0.765625
"sub010","retro","Orientation",0.8046875
"sub011","pre","Frequency",0.6953125
"sub011","pre","Orientation",0.734375
"sub011","retro","Frequency",0.6953125
"sub011","retro","Orientation",0.8984375
"sub012","pre","Frequency",0.9453125
"sub012","pre","Orientation",0.828125
"sub012","retro","Frequency",0.921875
"sub012","retro","Orientation",0.8671875
"sub013","pre","Frequency",0.96875
"sub013","pre","Orientation",0.8671875
"sub013","retro","Frequency",0.9765625
"sub013","retro","Orientation",0.9921875
"sub014","pre","Frequency",0.71875
"sub014","pre","Orientation",0.6875
"sub014","retro","Frequency",0.640625
"sub014","retro","Orientation",0.8125
"sub015","pre","Frequency",0.8828125
"sub015","pre","Orientation",0.8359375
"sub015","retro","Frequency",0.859375
"sub015","retro","Orientation",0.9921875
"sub016","pre","Frequency",0.9375
"sub016","pre","Orientation",0.8046875
"sub016","retro","Frequency",0.9765625
"sub016","retro","Orientation",0.8515625
"sub017","pre","Frequency",0.8984375
"sub017","pre","Orientation",0.78125
"sub017","retro","Frequency",0.9140625
"sub017","retro","Orientation",0.71875
"sub018","pre","Frequency",0.9296875
"sub018","pre","Orientation",0.7734375
"sub018","retro","Frequency",0.984375
"sub018","retro","Orientation",0.9375
"sub019","pre","Frequency",0.796875
"sub019","pre","Orientation",0.734375
"sub019","retro","Frequency",0.859375
"sub019","retro","Orientation",0.6796875
"sub020","pre","Frequency",0.9375
"sub020","pre","Orientation",0.8125
"sub020","retro","Frequency",0.9609375
"sub020","retro","Orientation",0.9375
"sub021","pre","Frequency",0.828125
"sub021","pre","Orientation",0.8046875
"sub021","retro","Frequency",0.8046875
"sub021","retro","Orientation",0.8828125
"sub022","pre","Frequency",0.953125
"sub022","pre","Orientation",0.78125
"sub022","retro","Frequency",0.9375
"sub022","retro","Orientation",0.875
"sub023","pre","Frequency",0.8125
"sub023","pre","Orientation",0.5
"sub023","retro","Frequency",0.71875
"sub023","retro","Orientation",0.609375
"sub024","pre","Frequency",0.5546875
"sub024","pre","Orientation",0.7734375
"sub024","retro","Frequency",0.4453125
"sub024","retro","Orientation",0.8125
"sub025","pre","Frequency",0.703125
"sub025","pre","Orientation",0.78125
"sub025","retro","Frequency",0.6875
"sub025","retro","Orientation",0.78125
"sub026","pre","Frequency",0.6640625
"sub026","pre","Orientation",0.65625
"sub026","retro","Frequency",0.59375
"sub026","retro","Orientation",0.734375
"sub027","pre","Frequency",0.8515625
"sub027","pre","Orientation",0.7734375
"sub027","retro","Frequency",0.8671875
"sub027","retro","Orientation",0.921875
"sub028","pre","Frequency",0.921875
"sub028","pre","Orientation",0.6640625
"sub028","retro","Frequency",0.8984375
"sub028","retro","Orientation",0.71875
"sub029","pre","Frequency",0.696428571428571
"sub029","pre","Orientation",0.723214285714286
"sub029","retro","Frequency",0.758928571428571
"sub029","retro","Orientation",0.821428571428571
"sub031","pre","Frequency",0.895833333333333
"sub031","pre","Orientation",0.770833333333333
"sub031","retro","Frequency",0.864583333333333
"sub031","retro","Orientation",0.875
"sub032","pre","Frequency",0.7265625
"sub032","pre","Orientation",0.671875
"sub032","retro","Frequency",0.75
"sub032","retro","Orientation",0.7734375
"sub033","pre","Frequency",0.8984375
"sub033","pre","Orientation",0.8203125
"sub033","retro","Frequency",0.875
"sub033","retro","Orientation",0.7890625
"sub034","pre","Frequency",0.7578125
"sub034","pre","Orientation",0.6484375
"sub034","retro","Frequency",0.609375
"sub034","retro","Orientation",0.6328125
"sub035","pre","Frequency",0.796875
"sub035","pre","Orientation",0.7265625
"sub035","retro","Frequency",0.5546875
"sub035","retro","Orientation",0.7890625
"sub036","pre","Frequency",0.875
"sub036","pre","Orientation",0.703125
"sub036","retro","Frequency",0.890625
"sub036","retro","Orientation",0.765625
"sub037","pre","Frequency",0.75
"sub037","pre","Orientation",0.546875
"sub037","retro","Frequency",0.7578125
"sub037","retro","Orientation",0.5078125
