suj,eyes,cue,rt,perc
sub001,open,right,0.544166666666667,89.4736842105263
sub001,open,left,0.567083333333333,93.4210526315789
sub001,closed,right,0.584166666666667,84.2105263157895
sub001,closed,left,0.5725,88.8157894736842
sub002,open,right,0.511666666666667,83.5526315789474
sub002,open,left,0.505,86.8421052631579
sub002,closed,right,0.632916666666667,62.5
sub002,closed,left,0.569166666666667,69.0789473684211
sub003,open,right,0.509166666666667,63.1578947368421
sub003,open,left,0.59,75.6578947368421
sub003,closed,right,0.571666666666667,71.7105263157895
sub003,closed,left,0.6275,74.3421052631579
sub004,open,right,0.4525,82.8947368421053
sub004,open,left,0.465416666666667,89.4736842105263
sub004,closed,right,0.515,74.3421052631579
sub004,closed,left,0.499166666666667,83.5526315789474
sub005,open,right,0.555833333333333,69.7368421052632
sub005,open,left,0.528333333333333,55.2631578947368
sub005,closed,right,0.595,62.5
sub005,closed,left,0.57625,60.5263157894737
sub006,open,right,0.719166666666667,75
sub006,open,left,0.7225,66.4473684210526
sub006,closed,right,0.78,73.0263157894737
sub006,closed,left,0.819583333333333,68.4210526315789
sub007,open,right,0.601666666666667,69.0789473684211
sub007,open,left,0.60125,65.7894736842105
sub007,closed,right,0.639583333333333,68.4210526315789
sub007,closed,left,0.619166666666667,68.4210526315789
sub008,open,right,0.6475,84.8684210526316
sub008,open,left,0.646666666666667,87.5
sub008,closed,right,0.636666666666667,92.7631578947368
sub008,closed,left,0.6475,91.4473684210526
sub009,open,right,0.588333333333333,63.8157894736842
sub009,open,left,0.666666666666667,67.1052631578947
sub009,closed,right,0.633333333333333,57.8947368421053
sub009,closed,left,0.675,61.1842105263158
sub010,open,right,0.744166666666667,69.0789473684211
sub010,open,left,0.736666666666667,69.0789473684211
sub010,closed,right,0.790416666666667,68.4210526315789
sub010,closed,left,0.8225,75.6578947368421
sub011,open,right,0.535833333333333,89.4736842105263
sub011,open,left,0.568333333333333,89.4736842105263
sub011,closed,right,0.558333333333333,90.1315789473684
sub011,closed,left,0.585833333333333,80.2631578947368
sub012,open,right,0.515833333333333,91.4473684210526
sub012,open,left,0.523333333333333,86.1842105263158
sub012,closed,right,0.624166666666667,86.1842105263158
sub012,closed,left,0.600833333333333,90.7894736842105
sub017,open,right,0.653333333333333,71.9298245614035
sub017,open,left,0.65625,80.7017543859649
sub017,closed,right,0.6525,85.0877192982456
sub017,closed,left,0.664583333333333,78.9473684210526
sub018,open,right,0.591666666666667,71.7105263157895
sub018,open,left,0.53,63.8157894736842
sub018,closed,right,0.616666666666667,61.1842105263158
sub018,closed,left,0.58125,55.921052631579
sub020,open,right,0.509166666666667,73.0263157894737
sub020,open,left,0.495,73.0263157894737
sub020,closed,right,0.5325,63.1578947368421
sub020,closed,left,0.5025,73.0263157894737
sub021,open,right,0.498333333333333,62.5
sub021,open,left,0.65375,63.1578947368421
sub021,closed,right,0.5175,64.4736842105263
sub021,closed,left,0.633333333333333,63.1578947368421
sub022,open,right,0.536666666666667,79.6052631578947
sub022,open,left,0.498333333333333,75
sub022,closed,right,0.55,76.3157894736842
sub022,closed,left,0.5525,84.8684210526316
sub023,open,right,0.5925,82.8947368421053
sub023,open,left,0.629583333333333,86.8421052631579
sub023,closed,right,0.650833333333333,87.5
sub023,closed,left,0.6325,82.8947368421053
sub024,open,right,0.5925,84.8684210526316
sub024,open,left,0.623333333333333,82.8947368421053
sub024,closed,right,0.674166666666667,72.3684210526316
sub024,closed,left,0.711666666666667,67.1052631578947
sub025,open,right,0.763333333333333,55.921052631579
sub025,open,left,0.775833333333333,59.2105263157895
sub025,closed,right,0.767916666666667,60.5263157894737
sub025,closed,left,0.848333333333333,65.1315789473684
sub026,open,right,0.7,73.0263157894737
sub026,open,left,0.738333333333333,75.6578947368421
sub026,closed,right,0.7675,78.9473684210526
sub026,closed,left,0.701666666666667,75.6578947368421
sub027,open,right,0.635416666666667,72.3684210526316
sub027,open,left,0.641666666666667,73.6842105263158
sub027,closed,right,0.61625,76.3157894736842
sub027,closed,left,0.646666666666667,70.3947368421053
sub028,open,right,0.772083333333333,75
sub028,open,left,0.770833333333333,82.2368421052632
sub028,closed,right,0.785833333333333,74.3421052631579
sub028,closed,left,0.818333333333333,75
sub029,open,right,0.783333333333333,84.2105263157895
sub029,open,left,0.827083333333333,69.7368421052632
sub029,closed,right,0.822083333333333,72.3684210526316
sub029,closed,left,0.9025,57.2368421052632
sub030,open,right,0.61625,73.6842105263158
sub030,open,left,0.634166666666667,78.2894736842105
sub030,closed,right,0.58875,82.8947368421053
sub030,closed,left,0.640833333333333,77.6315789473684
sub031,open,right,0.621666666666667,67.7631578947368
sub031,open,left,0.698333333333333,71.7105263157895
sub031,closed,right,0.739166666666667,62.5
sub031,closed,left,0.751666666666667,63.8157894736842
sub032,open,right,0.69,57.2368421052632
sub032,open,left,0.6125,63.8157894736842
sub032,closed,right,0.614583333333333,68.4210526315789
sub032,closed,left,0.598333333333333,61.1842105263158
sub033,open,right,0.659583333333333,90.7894736842105
sub033,open,left,0.7,84.2105263157895
sub033,closed,right,0.665,85.5263157894737
sub033,closed,left,0.6775,75.6578947368421
sub034,open,right,0.547083333333333,78.9473684210526
sub034,open,left,0.580416666666667,80.2631578947368
sub034,closed,right,0.545833333333333,76.9736842105263
sub034,closed,left,0.55,84.8684210526316
sub035,open,right,0.4625,57.8947368421053
sub035,open,left,0.45,66.4473684210526
sub035,closed,right,0.5075,59.2105263157895
sub035,closed,left,0.532916666666667,63.1578947368421
sub036,open,right,0.715833333333333,79.6052631578947
sub036,open,left,0.743333333333333,73.0263157894737
sub036,closed,right,0.720416666666667,77.6315789473684
sub036,closed,left,0.80875,75
sub037,open,right,0.632083333333333,81.8791946308725
sub037,open,left,0.68125,81.8791946308725
sub037,closed,right,0.713333333333333,71.7105263157895
sub037,closed,left,0.7075,75
sub039,open,right,0.6675,85.5263157894737
sub039,open,left,0.6725,89.4736842105263
sub039,closed,right,0.7,85.5263157894737
sub039,closed,left,0.694583333333333,92.7631578947368
